CMDLINE C:\ProgramData\anaconda3\python.exe conditionalserviceavailability_32_simulator.py
MEM 327.093750 1715190718.1512
MEM 327.144531 1715190718.2523
MEM 327.253906 1715190718.3530
MEM 327.394531 1715190718.4537
MEM 327.457031 1715190718.5544
MEM 327.558594 1715190718.6549
MEM 327.691406 1715190718.7554
MEM 327.753906 1715190718.8565
MEM 327.859375 1715190718.9574
MEM 327.996094 1715190719.0579
MEM 328.070312 1715190719.1585
MEM 328.171875 1715190719.2592
MEM 328.304688 1715190719.3598
MEM 328.375000 1715190719.4605
MEM 328.468750 1715190719.5611
MEM 328.597656 1715190719.6616
MEM 328.691406 1715190719.7622
MEM 328.792969 1715190719.8627
MEM 328.937500 1715190719.9632
MEM 329.019531 1715190720.0636
MEM 329.105469 1715190720.1647
MEM 329.234375 1715190720.2656
MEM 329.332031 1715190720.3667
MEM 329.394531 1715190720.4676
MEM 329.542969 1715190720.5686
MEM 329.695312 1715190720.6697
MEM 329.769531 1715190720.7706
MEM 329.894531 1715190720.8716
MEM 329.996094 1715190720.9723
MEM 330.070312 1715190721.0728
MEM 330.203125 1715190721.1734
MEM 330.304688 1715190721.2740
MEM 330.378906 1715190721.3750
MEM 330.503906 1715190721.4757
MEM 330.601562 1715190721.5763
MEM 330.695312 1715190721.6774
MEM 330.804688 1715190721.7784
MEM 330.917969 1715190721.8794
MEM 331.000000 1715190721.9804
MEM 331.140625 1715190722.0814
MEM 331.277344 1715190722.1824
MEM 331.343750 1715190722.2834
MEM 331.476562 1715190722.3844
MEM 331.605469 1715190722.4855
MEM 331.667969 1715190722.5865
MEM 331.761719 1715190722.6870
MEM 331.851562 1715190722.7875
MEM 331.898438 1715190722.8886
MEM 332.015625 1715190722.9893
MEM 332.152344 1715190723.0904
MEM 332.187500 1715190723.1909
MEM 332.324219 1715190723.2914
MEM 332.453125 1715190723.3919
MEM 332.488281 1715190723.4929
MEM 332.621094 1715190723.5935
MEM 332.757812 1715190723.6945
MEM 332.796875 1715190723.7956
MEM 332.933594 1715190723.8965
MEM 333.058594 1715190723.9975
MEM 333.097656 1715190724.0985
MEM 333.222656 1715190724.1996
MEM 333.355469 1715190724.3006
MEM 333.406250 1715190724.4010
MEM 333.527344 1715190724.5019
MEM 333.664062 1715190724.6029
MEM 333.726562 1715190724.7041
